,Item_Identifier,Item_Weight,Item_Visibility,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Item_Outlet_Sales,Set,Outlet_Type_Grocery Store,Outlet_Type_Supermarket Type1,Outlet_Type_Supermarket Type2,Outlet_Type_Supermarket Type3
133,FDS52,8.89,0.009163216,2,OUT010,22,0,0,101.2016,train,1,0,0,0
134,FDG02,7.855,0.011307038,4,OUT018,11,1,0,952.094,train,0,0,1,0
135,NCO26,7.235,0.076855628,2,OUT046,23,0,2,1969.4364,train,0,1,0,0
136,FDH35,18.25,0.059956876,3,OUT027,35,1,0,5262.4832,train,0,0,0,1
137,FDB51,6.92,0.038532062,1,OUT045,18,0,1,1314.2892,train,0,1,0,0
138,FDX44,9.3,0.043209581,1,OUT017,13,0,1,535.3032,train,0,1,0,0
139,NCN07,18.5,0.056816465,2,OUT010,22,0,0,263.6568,train,1,0,0,0
140,NCC31,8.02,0.019866705,3,OUT035,16,0,1,1402.1748,train,0,1,0,0
141,NCX54,9.195,0.048331717,2,OUT017,13,0,1,1693.7952,train,0,1,0,0
142,NCO55,12.8,0.091221855,2,OUT045,18,0,1,2143.876,train,0,1,0,0
143,NCC30,16.6,0.027622076,3,OUT049,21,1,2,2676.516,train,0,1,0,0
144,FDI16,14.0,0.0,1,OUT035,16,0,1,905.488,train,0,1,0,0
145,FDP16,18.6,0.039355947,4,OUT049,21,1,2,7370.406,train,0,1,0,0
146,FDB11,16.0,0.060836524,4,OUT035,16,0,1,6301.1312,train,0,1,0,0
147,NCB06,17.6,0.082316506,3,OUT035,16,0,1,1597.92,train,0,1,0,0
148,FDA45,21.25,0.155350299,3,OUT035,16,0,1,529.311,train,0,1,0,0
149,NCO26,7.235,0.076841095,2,OUT035,16,0,1,1969.4364,train,0,1,0,0
150,DRJ25,14.6,0.151419185,1,OUT017,13,0,1,1034.6532,train,0,1,0,0
151,FDR28,13.85,0.026001976,3,OUT018,11,1,0,1794.331,train,0,0,1,0
152,FDI04,13.65,0.073209447,4,OUT018,11,1,0,2768.3964,train,0,0,1,0
153,DRK12,9.5,0.041683481,1,OUT027,35,1,0,898.83,train,0,0,0,1
154,FDX20,7.365,0.042560252,4,OUT046,23,0,2,3169.208,train,0,1,0,0
155,NCI18,18.35,0.014081156,4,OUT018,11,1,0,3589.9936,train,0,0,1,0
156,FDB36,5.465,0.0,2,OUT018,11,1,0,262.3252,train,0,0,1,0
157,FDN13,18.6,0.152918384,2,OUT017,13,0,1,1910.1802,train,0,1,0,0
158,DRD24,13.85,0.030969274,2,OUT017,13,0,1,1701.7848,train,0,1,0,0
159,FDQ28,14.0,0.060376776,3,OUT013,33,2,0,2471.4496,train,0,1,0,0
160,FDM22,14.0,0.04192285,1,OUT013,33,2,0,1331.6,train,0,1,0,0
161,FDR07,21.35,0.077367431,2,OUT027,35,1,0,1808.9786,train,0,0,0,1
162,FDV25,5.905,0.045838211,4,OUT018,11,1,0,3315.684,train,0,0,1,0
163,DRF49,7.27,0.071077939,2,OUT046,23,0,2,2618.5914,train,0,1,0,0
164,FDW51,6.155,0.094659871,4,OUT046,23,0,2,2769.728,train,0,1,0,0
165,DRL01,19.5,0.077608838,4,OUT017,13,0,1,5375.0034,train,0,1,0,0
166,FDP25,15.2,0.021327477,4,OUT017,13,0,1,2838.9712,train,0,1,0,0
167,FDL50,12.15,0.042485444,2,OUT018,11,1,0,1743.0644,train,0,0,1,0
168,NCB30,14.6,0.025578526,4,OUT027,35,1,0,5555.4352,train,0,0,0,1
169,FDW11,12.6,0.0489808,1,OUT018,11,1,0,619.194,train,0,0,1,0
170,NCM43,14.5,0.019471688,3,OUT035,16,0,1,2120.573,train,0,1,0,0
171,FDK44,16.6,0.122918852,3,OUT017,13,0,1,3823.0236,train,0,1,0,0
172,FDM15,11.8,0.057373797,3,OUT013,33,2,0,1360.2294,train,0,1,0,0
173,FDS31,13.1,0.044155597,3,OUT013,33,2,0,3969.4996,train,0,1,0,0
174,FDI32,17.7,0.291865402,2,OUT010,22,0,0,345.5502,train,1,0,0,0
175,FDR47,17.85,0.0,4,OUT010,22,0,0,585.2382,train,1,0,0,0
176,FDB35,12.3,0.064750025,1,OUT045,18,0,1,1010.6844,train,0,1,0,0
177,NCU05,11.8,0.098312421,1,OUT010,22,0,0,161.1236,train,1,0,0,0
178,DRY23,9.395,0.191013663,1,OUT019,35,0,2,42.6112,train,1,0,0,0
179,FDO24,11.1,0.176573035,3,OUT045,18,0,1,3010.7476,train,0,1,0,0
180,FDQ28,14.0,0.060134441,3,OUT027,35,1,0,6024.1584,train,0,0,0,1
181,FDV39,11.3,0.007294652,4,OUT045,18,0,1,988.713,train,0,1,0,0
182,NCO17,10.0,0.128478462,2,OUT019,35,0,2,239.688,train,1,0,0,0
183,FDU50,5.75,0.075107656,2,OUT013,33,2,0,1374.2112,train,0,1,0,0
184,FDT12,6.215,0.049381406,4,OUT027,35,1,0,4739.8302,train,0,0,0,1
185,FDK58,11.35,0.045165796,2,OUT018,11,1,0,1012.016,train,0,0,1,0
186,FDO08,11.1,0.09415375,3,OUT019,35,0,2,657.8104,train,1,0,0,0
187,NCW29,14.0,0.028907832,2,OUT049,21,1,2,778.986,train,0,1,0,0
188,FDE04,19.75,0.018059621,3,OUT045,18,0,1,2336.958,train,0,1,0,0
189,NCB19,6.525,0.090436094,1,OUT049,21,1,2,2233.0932,train,0,1,0,0
190,FDV15,10.3,0.146399712,2,OUT049,21,1,2,1661.8368,train,0,1,0,0
191,FDL58,5.78,0.074264356,4,OUT049,21,1,2,4745.8224,train,0,1,0,0
192,FDA08,11.85,0.050186726,3,OUT045,18,0,1,3124.5994,train,0,1,0,0
193,FDT43,16.35,0.020631654,1,OUT018,11,1,0,467.3916,train,0,0,1,0
194,NCX06,17.6,0.01561108,3,OUT027,35,1,0,5070.7328,train,0,0,0,1
195,FDT20,10.5,0.041395445,1,OUT046,23,0,2,540.6296,train,0,1,0,0
196,FDB41,19.0,0.097313129,1,OUT046,23,0,2,992.7078,train,0,1,0,0
197,NCN55,14.6,0.059582996,4,OUT049,21,1,2,6008.845,train,0,1,0,0
198,FDE40,15.6,0.098663652,1,OUT027,35,1,0,2105.2596,train,0,0,0,1
199,FDX49,4.615,0.101338651,4,OUT027,35,1,0,5359.69,train,0,0,0,1
200,NCM53,18.75,0.052146456,2,OUT045,18,0,1,745.696,train,0,1,0,0
201,FDE36,5.26,0.041764487,3,OUT035,16,0,1,3275.736,train,0,1,0,0
202,FDN57,18.25,0.054344186,2,OUT045,18,0,1,1701.7848,train,0,1,0,0
203,FDI24,10.3,0.078362484,3,OUT027,35,1,0,6704.606,train,0,0,0,1
204,FDI19,15.1,0.052339069,4,OUT046,23,0,2,4119.9704,train,0,1,0,0
205,FDF24,15.5,0.042464962,1,OUT010,22,0,0,327.5736,train,1,0,0,0
206,FDG52,13.65,0.065732883,1,OUT049,21,1,2,780.9834,train,0,1,0,0
207,DRF36,16.1,0.023625114,4,OUT045,18,0,1,3630.6074,train,0,1,0,0
208,FDS45,5.175,0.051643608,2,OUT019,35,0,2,317.5866,train,1,0,0,0
209,FDX40,12.85,0.165694219,1,OUT010,22,0,0,231.6984,train,1,0,0,0
210,DRK12,9.5,0.041878397,1,OUT035,16,0,1,133.16,train,0,1,0,0
211,DRC27,13.8,0.058091482,4,OUT035,16,0,1,5650.6446,train,0,1,0,0
212,FDL58,5.78,0.0,4,OUT017,13,0,1,2636.568,train,0,1,0,0
213,NCD30,19.7,0.026903714,2,OUT045,18,0,1,1272.3438,train,0,1,0,0
214,NCZ54,14.65,0.0,3,OUT010,22,0,0,324.9104,train,1,0,0,0
215,FDE10,6.67,0.150554711,2,OUT010,22,0,0,131.1626,train,1,0,0,0
216,FDR44,6.11,0.0,2,OUT010,22,0,0,260.9936,train,1,0,0,0
217,FDP28,13.65,0.134975628,4,OUT010,22,0,0,260.9936,train,1,0,0,0
218,FDX15,17.2,0.15616879,3,OUT013,33,2,0,3690.5294,train,0,1,0,0
219,FDA39,6.32,0.0,1,OUT035,16,0,1,1139.1838,train,0,1,0,0
220,FDY24,4.88,0.133700752,1,OUT049,21,1,2,1995.4026,train,0,1,0,0
221,FDC60,5.425,0.115119905,1,OUT017,13,0,1,1416.8224,train,0,1,0,0
222,FDH28,15.85,0.110030997,1,OUT046,23,0,2,265.6542,train,0,1,0,0
223,FDT25,7.5,0.051038045,2,OUT017,13,0,1,3552.7088,train,0,1,0,0
224,DRJ13,12.65,0.062837968,3,OUT013,33,2,0,2406.867,train,0,1,0,0
225,NCO07,9.06,0.017116983,4,OUT019,35,0,2,213.056,train,1,0,0,0
226,FDW20,20.75,0.024129332,2,OUT013,33,2,0,2956.152,train,0,1,0,0
227,DRF27,8.93,0.049754975,3,OUT019,35,0,2,153.134,train,1,0,0,0
228,FDS49,9.0,0.0,1,OUT035,16,0,1,1649.8524,train,0,1,0,0
229,FDX25,16.7,0.101561568,3,OUT027,35,1,0,3101.2964,train,0,0,0,1
230,NCX42,6.36,0.005949644,3,OUT027,35,1,0,4769.1254,train,0,0,0,1
231,FDG33,5.365,0.13956116,3,OUT027,35,1,0,3435.528,train,0,0,0,1
232,FDL56,14.1,0.126035694,1,OUT045,18,0,1,1133.8574,train,0,1,0,0
233,FDF14,7.55,0.027164679,3,OUT035,16,0,1,2603.278,train,0,1,0,0
234,NCD06,13.0,0.099325278,1,OUT046,23,0,2,605.878,train,0,1,0,0
235,DRM47,9.3,0.04357366,4,OUT027,35,1,0,2293.0152,train,0,0,0,1
236,FDS46,17.6,0.082741482,2,OUT019,35,0,2,119.1782,train,1,0,0,0
237,FDB35,12.3,0.064565202,1,OUT013,33,2,0,1929.4884,train,0,1,0,0
238,FDX21,7.05,0.084554569,2,OUT027,35,1,0,2074.6328,train,0,0,0,1
239,NCU05,11.8,0.058451805,1,OUT027,35,1,0,241.6854,train,0,0,0,1
240,NCR38,17.25,0.113748685,4,OUT045,18,0,1,6795.1548,train,0,1,0,0
241,NCR18,15.85,0.020603511,1,OUT017,13,0,1,639.168,train,0,1,0,0
242,NCU41,18.85,0.052044976,4,OUT035,16,0,1,3248.4382,train,0,1,0,0
243,FDY56,16.35,0.062764429,4,OUT017,13,0,1,7222.5984,train,0,1,0,0
244,DRJ51,14.1,0.087977262,4,OUT035,16,0,1,3225.1352,train,0,1,0,0
245,FDK21,7.905,0.010010425,4,OUT035,16,0,1,3755.112,train,0,1,0,0
246,FDY25,12.0,0.033946163,3,OUT013,33,2,0,3440.8544,train,0,1,0,0
247,FDU44,12.15,0.058414678,3,OUT035,16,0,1,974.7312,train,0,1,0,0
248,FDL43,10.1,0.027106459,1,OUT049,21,1,2,535.969,train,0,1,0,0
249,FDF05,17.5,0.027022883,4,OUT017,13,0,1,5259.82,train,0,1,0,0
250,DRF15,18.35,0.058153409,3,OUT019,35,0,2,306.268,train,1,0,0,0
251,FDL20,17.1,0.128937661,2,OUT018,11,1,0,1779.0176,train,0,0,1,0
252,FDV32,7.785,0.088846306,1,OUT049,21,1,2,759.012,train,0,1,0,0
253,FDJ34,11.8,0.09357779,2,OUT013,33,2,0,1877.556,train,0,1,0,0
254,FDG08,13.15,0.165694678,3,OUT045,18,0,1,3779.0808,train,0,1,0,0
255,FDQ04,6.4,0.148392623,1,OUT019,35,0,2,41.2796,train,1,0,0,0
256,FDW13,8.5,0.098438394,1,OUT017,13,0,1,259.662,train,0,1,0,0
257,NCI17,8.645,0.143303291,2,OUT013,33,2,0,193.082,train,0,1,0,0
258,FDY03,17.6,0.076276208,2,OUT045,18,0,1,1687.803,train,0,1,0,0
259,FDS12,9.1,0.175103435,2,OUT017,13,0,1,4655.9394,train,0,1,0,0
260,FDJ55,12.8,0.023511371,4,OUT013,33,2,0,4950.8888,train,0,1,0,0
261,DRK01,7.63,0.06105276,2,OUT035,16,0,1,1418.154,train,0,1,0,0
262,FDG28,9.285,0.049559042,4,OUT017,13,0,1,1225.072,train,0,1,0,0
263,FDY38,13.6,0.119418124,4,OUT045,18,0,1,5359.69,train,0,1,0,0
264,FDN01,8.895,0.072545601,3,OUT045,18,0,1,1764.37,train,0,1,0,0
265,NCR54,16.35,0.090486828,4,OUT013,33,2,0,2553.343,train,0,1,0,0
266,FDG29,17.6,0.056245075,1,OUT013,33,2,0,1006.6896,train,0,1,0,0
267,FDG24,7.975,0.014618973,1,OUT013,33,2,0,1081.925,train,0,1,0,0
268,FDG59,15.85,0.043479126,1,OUT017,13,0,1,308.9312,train,0,1,0,0
269,FDM28,15.7,0.045166237,3,OUT013,33,2,0,2516.724,train,0,1,0,0
270,FDW04,8.985,0.057827101,2,OUT046,23,0,2,1428.141,train,0,1,0,0
271,FDS26,20.35,0.089394766,4,OUT013,33,2,0,2093.2752,train,0,1,0,0
272,FDQ56,6.59,0.10550944,1,OUT013,33,2,0,1929.4884,train,0,1,0,0
273,FDK51,19.85,0.005234153,4,OUT035,16,0,1,5829.7448,train,0,1,0,0
274,FDL22,16.85,0.036390174,1,OUT046,23,0,2,2082.6224,train,0,1,0,0
275,FDH19,19.35,0.03292824,3,OUT027,35,1,0,7298.4996,train,0,0,0,1
276,FDY55,16.75,0.081252534,4,OUT013,33,2,0,7452.9652,train,0,1,0,0
277,FDY03,17.6,0.076552407,2,OUT017,13,0,1,450.0808,train,0,1,0,0
278,FDK21,7.905,0.016758569,4,OUT010,22,0,0,500.6816,train,1,0,0,0
279,FDZ10,17.85,0.044248175,2,OUT027,35,1,0,3668.558,train,0,0,0,1
280,FDZ32,7.785,0.038288087,2,OUT018,11,1,0,736.3748,train,0,0,1,0
281,NCZ18,7.825,0.186032678,4,OUT035,16,0,1,6088.0752,train,0,1,0,0
282,NCF07,9.0,0.031867464,2,OUT027,35,1,0,2125.2336,train,0,0,0,1
283,DRE49,20.75,0.021370201,3,OUT017,13,0,1,2277.036,train,0,1,0,0
284,FDJ08,11.1,0.193772568,4,OUT019,35,0,2,573.2538,train,1,0,0,0
285,FDT39,6.26,0.009866049,3,OUT035,16,0,1,2267.049,train,0,1,0,0
286,FDE08,18.2,0.082551042,3,OUT010,22,0,0,296.9468,train,1,0,0,0
287,NCD06,13.0,0.099729888,1,OUT018,11,1,0,559.272,train,0,0,1,0
288,FDB57,20.25,0.018801549,4,OUT035,16,0,1,5559.43,train,0,1,0,0
289,NCT54,8.695,0.119721451,2,OUT049,21,1,2,1237.7222,train,0,1,0,0
290,DRF49,7.27,0.071222087,2,OUT045,18,0,1,569.259,train,0,1,0,0
291,FDM25,10.695,0.060371962,3,OUT027,35,1,0,3866.9664,train,0,0,0,1
292,FDF20,12.85,0.033287541,4,OUT045,18,0,1,1379.5376,train,0,1,0,0
293,FDH27,7.075,0.05858462,3,OUT018,11,1,0,1869.5664,train,0,0,1,0
294,FDV60,20.2,0.11679292,4,OUT027,35,1,0,5499.508,train,0,0,0,1
295,FDY59,8.195,0.031452265,2,OUT049,21,1,2,925.462,train,0,1,0,0
296,FDK36,7.09,0.00721395,1,OUT035,16,0,1,583.2408,train,0,1,0,0
297,NCM31,6.095,0.081196619,2,OUT046,23,0,2,1418.154,train,0,1,0,0
298,FDE33,19.35,0.049916364,1,OUT017,13,0,1,942.7728,train,0,1,0,0
299,FDU36,6.15,0.04627095,2,OUT046,23,0,2,2364.9216,train,0,1,0,0
300,FDV13,17.35,0.02747716,1,OUT027,35,1,0,3251.7672,train,0,0,0,1
301,FDV20,20.2,0.104704537,2,OUT019,35,0,2,254.3356,train,1,0,0,0
